,post,gt_labels,pred_labels
0," rt  "" this issue  then  is about much more than law : it is about the task facing all people of european ancestry . our task  from america to germany to new zealand  is to be  and re-create  who we are . "" "" - winston taney """,incitement,incitement
1,"oh, great! another magnet to attract the wrong kind of people we want in the us. we will never sol",irony,irony
2,the more white people who become fed up with leftist anti-white rhetoric the better . it's time for white ppl to love who they are again .,white_grievance,incitement
3,"ice should surround them, herd them onto buses, take them to the mexican border & unload them there. tell the mexican govt to deal with them.",inferiority,threatening
4,sounds like some sort of skinhead thing  which is the complete opposite of identity evropa's aesthetic .,incitement,stereotypical
5,"the one on the left is european nostalgia, the one on the right is the latest in african technology.",inferiority,inferiority
6," rt also these crazy nazis came out after weeks of people saying to  "" kill all white people "" "" "" "" white people should be extinct "" "" they want a war """,white_grievance,white_grievance
7,interracial marriage = white genocide,white_grievance,white_grievance
8,What’s the best part of being a doctor? Vegetables don’t need to give consent.,irony,irony
9,i think it'll be covered once all the #illegals are out!,threatening,irony
10,"- there is no accountability system, thats why its a swamp",inferiority,inferiority
11,what the hell is wrong with these people? they are sheep being let to slaughter. #banislam,inferiority,inferiority
12,white pride world wide t-shirt from the white resister :,incitement,incitement
13,"the yankees are so disenchanted with their women that they are ready to turn to waifus, sexbots and artificial wombs. i can't honestly blame them given what i have seen. we need to eradicate that degenerate culture before it spreads any further",inferiority,inferiority
14,when we reach critical mass white people won't care what label media throws at a white revolution + we will -,incitement,incitement
15,build the wall to keep these animals in mexico!!,inferiority,inferiority
16,sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .,incitement,stereotypical
17,this whole narrative that #daca people do so much for our economy is just not true . most are more racist than any white person in 2017 .,stereotypical,white_grievance
18,the answer is simple come legally you stay. come illegally you get deported. here illegally now you get deported.,incitement,white_grievance
19,i definitely am proud of being a white man and a brother in the superior aryan race .,incitement,incitement
20," i have a koran sitting here next to me ! !  "" kill infidels "" "" "" kill jews "" "" "" kill kuffars "" "" and u were saying ? """,stereotypical,stereotypical
21,what do you call a jew that jumps out of a plane a falling star,irony,irony
22,A black man walks into a bar with a parrot on his shoulder. Bar tender goes he man that's neat where did you get that?   The parrot says Africa there all over the fucking place!,irony,irony
23,it took 160 years  but only now is the conquest of the south being finalized .,incitement,incitement
24,ya i'm sure & you did say tea party = kkk and called kkk racist . but whatevs bye felicia,white_grievance,incitement
25,i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .,incitement,incitement
26,but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .,white_grievance,stereotypical
27,not racist at all brother makes you a patriot .,incitement,incitement
28,indiana in washington dc to demand an end to the replacement of european americans !,white_grievance,white_grievance
29,inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,stereotypical,inferiority
30,the only race the media disparages is the white race . they would never say this about any other race  therefore they are anti-white .,white_grievance,white_grievance
31,no it is a hate crime except that we acknowledge it and u white wash the evil islam is,stereotypical,white_grievance
32,"brave man. he has a point. but, at least teach them that being an illegal alien is a violation of law.",threatening,irony
33,yeah  shut up . the dems hate white people . they hate the south #jointaddress,white_grievance,white_grievance
34,"people, get on the horn & call the senate now to stop this big govt dysfunction called #amnesty. time is running out! call now 202.224.3121",threatening,incitement
35,let's all return home . whites to euro  nice . others back to 3rd world,incitement,incitement
36," rt you can't claim  "" domestic terrorism "" "" is not a ' muslim monopoly ' while also claiming this domestic radical muslim isn't a terrorist #fresno """,stereotypical,stereotypical
37,"some people say i do n't let my wife choose anything , but that 's not true ! i let her choose between front hand and back hand .",threatening,irony
38,keeping jihadis at bay is more important than free speech .,threatening,stereotypical
39,"we pakistani used to be great hindu nation,the moment we submitted to islam, we lost our pride,dignity, heritage, culture and became zombie.",inferiority,inferiority
40,muslims have been a problem since the 13th century! i'm sick of them in the 21st century! why can't they evolve?,inferiority,inferiority
41,god forbid he celebrate a white person  that would be racist . hate this country anymore .,white_grievance,white_grievance
42," proliferating anti-white agenda  "" """,white_grievance,white_grievance
