,post,gt_labels,pred_labels
0,"g-d forbid a child might actually think of g-d on the playground, and we can't have that kind of religious statism, now can we?",irony,irony
1,january 20th is an important day. roll these people up and throw them out.,threatening,threatening
2,#kkk  i do not mind your booklet . how can i support ? ? ?,incitement,incitement
3,slaves and camel-jockeys !,inferiority,inferiority
4,How does a black guy Send mail? With food stamps,irony,irony
5,they're mongrels!,inferiority,inferiority
6,a tribute to the white race . take a stand for your people  #wakeup ! #loveyourrace #aryan #arizona #blog,incitement,incitement
7,what does that even mean? it's the oldest black republic in the world? blacks created modern haiti,inferiority,incitement
8,god grant that in all the land  there were more white people than black and colored .,incitement,incitement
9,... many arrests of muslim youth in bharat regarding sexual violence against animals ... its happening,stereotypical,inferiority
10,elderly [ white ] us man punches [ black thug ] protester at trump rally via . the tide has turned .,stereotypical,stereotypical
11,that would be even more more evidence that they really are ( ( ( white ) ) ) not white . anglo women don't abort .,stereotypical,white_grievance
12,"i would be raising hell if i lived in connecticut! all these states need to get rid of illegals,abuse to citizens",threatening,threatening
13,vanity fair : why angry white america fell for putin via #waronwhites #culturalmarxism #,white_grievance,white_grievance
14,"pastors take note; white architect designed your church,whites built it,whites paid for it. whit",inferiority,white_grievance
15," rt uk video :  "" you're a jew  not a muslim ... jew  jew  jew run ! "" "" #islam #islamophobia #tcot #antimuslim """,incitement,stereotypical
16,we need to create safe zones in the countries creating refugees keep refugees in there home country usa does not need more 3rd world losers!,inferiority,inferiority
17," anyhow  the bottom line is that we r all  "" soldiers "" "" on the internet  fight for white rights & white freedom . """,incitement,incitement
18,"is the glass half full or half empty ? i really do n't know , because there 's different ways to look at it : - optimism : the glass is half full . - pessimism : the glass is half empty . - feminism : the glass is raping me .",irony,irony
19,anti-white un boss demands more non-white immigration into britain  despite major opposition via,white_grievance,white_grievance
20,it's statues now . eventually it will be calls to ban vanilla ice cream  white bed sheets  and to denounce snow as racist . insanity .,irony,white_grievance
21,"halt illegal immigration. curtail syrian immigration. provide safe zones in their country, no terrorist welcome to usa.",incitement,threatening
22,us : school teachers too white  say anti-whites,white_grievance,white_grievance
