,post,gt_labels,pred_labels
0," depends who is doing the  "" colonizing . "" "" many nations in africa flourished under european colonization . """,inferiority,incitement
1,wrong! they can't be let into the usa period!! #trump2016,threatening,incitement
2,white women signaling they were wrong about feminism.white births a us majority again via,incitement,incitement
3,1.8 million invaders in germany since 2014,incitement,incitement
4,white nats have to dialectic their way back,incitement,incitement
5,why do black people like the pokemon anime ? because they can relate to the main character 's fatherlessness .,irony,irony
6,we also have these people speaking out on the dangers of islam to the west,stereotypical,stereotypical
7,"he should be shipped off to the middle east and have to serve 1 year, until he can return to the nfl! i think he needs a visual aid..",threatening,irony
8,send them to prison and let the sisters take care of them.,threatening,threatening
9,but white people wont be rioting . just saying .,stereotypical,white_grievance
10,: what is good for the white race is the ultimate good .,incitement,incitement
11,is a great organization . they are a social fraternity for white young people in america ostracized by progressive culture .,white_grievance,white_grievance
12,its a sad day for white people  even worse  they will say he's a racist and ignore it still . #brainwashed,white_grievance,white_grievance
13,"in a marketplace of ideas, few girls have anything original to offer. what they can offer is brief dopamine spurts from the occasional flirtation. assume everyone on the internet is a man, and act accordingly.",inferiority,inferiority
14,a perfect demonstration of fear-based mind control programming #withjewswelose #nomorejewishlies,stereotypical,incitement
15," the realist report :  "" the tattoo business as we know it was largely created by jews "" "" #withjewswelose """,stereotypical,stereotypical
16,"I got a handjob from a blind girl, my friend asked me how was it I replied “Ah blind girls—you have to hand it to them”",irony,irony
17,judeo-mason stratagem : 1 ) establish a democracy 2 ) create a central bank 3 ) seize control of mass media 4 ) destroy racial / cultural identity,stereotypical,incitement
18,"  "" : #whatilove is the amazing  creative  white race . #whiteppl #whitepeople #whitepride "" "" lol """,incitement,incitement
19,: 13 ( worst ) companies who support israels policies for white america july 23rd ! ! be there ! ! ...,stereotypical,stereotypical
20,america was meant to be a white country . jim crow was meant to preserve the america the founding fathers envisioned .,inferiority,incitement
21,"all of the emperor's adopted amigos will be safe, warm & fed while our brave vets are homeless, cold and hungry!!",white_grievance,irony
22,"we're importing crooks, terrorists, 3rd world savages don't even know how to use flush toilet. they want us terrorized, all there is to it.",inferiority,inferiority
23,"  "" jewish "" "" bolsheviks are a clever bunch . "" "" zionists "" "" . "" "" neo cons "" "" . they own our media . """,stereotypical,stereotypical
24,what does a muslim do with their iphone <number> ? just kidding ! they prefer the note <number>,irony,irony
25,20 invader centers burned in germany #whitegenocide #merkelmussweg #refugeeswelcome #trump,stereotypical,stereotypical
26,suburbs are actually just well-constructed refugee camps for white people #altright,white_grievance,white_grievance
27,whites who're true to themselves and their people .,incitement,incitement
28,jews aren't white .,stereotypical,incitement
29,they're mongrels!,inferiority,inferiority
30,cbn : sweden is on the fast tract to become a 3rd world country #swrm via,incitement,inferiority
31,you're missing the point . 1 black attacking 1 of my white people is 1 too many .,white_grievance,white_grievance
32," some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """,white_grievance,white_grievance
33," rt i'm against feminism . i don't hate women as such though . i disagree with the ideology and social order and oppose liberalism down the line . how can you  "" secure a future for white children "" "" without half of our race ? """,incitement,incitement
34,"How many Jews does it take to cook a dinner? Two. One in the fire, one above the fire.",irony,irony
35,golden dawn's leader interviewed about the holocaust myth ( video ) via,stereotypical,stereotypical
36,there is no hate . what they want to root out is any form of white european identity . they have declared,white_grievance,white_grievance
37,"There should be a modernized version of ""The Boy Who Cried Wolf"" called ""The Girl Who Cried Rape""",irony,irony
38,i live in maxine waters district  she's always been one of the most racist politicians in america . to her hating white people isn't racist .,white_grievance,white_grievance
39,islamic mosque built over original shri krishna janmabhumi #hdl | mosque must be destroyed now via,incitement,stereotypical
40,"  "" an imam is demanding the extermination of the jews "" "" ( via vladtepes ) the jew hate is mainstream islamic ... """,stereotypical,stereotypical
41," rt berlin : muslims chanting  "" allahu akbar "" "" & "" "" jew  jew  coward pig "" "" . hitler would be proud . #trumpaddress #jointaddress """,stereotypical,stereotypical
42,cousyness factor 1488  makeeuropegreatagain  preserve white volk ! #svpol #vpol #migpol #makeeuropegreatagain #eupol,incitement,incitement
43,it's a shame and a disgrace that mexico doesn't want to take care of its own citizens !,white_grievance,inferiority
44,yes  and give it to the white deserving poor .,inferiority,white_grievance
45,never i hope it's degrading can't believe the germans they have sunk so low !,inferiority,inferiority
46,texas a & m . #projectsiege,incitement,incitement
47,cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah,stereotypical,stereotypical
48,enough  illegal means illegal ! after the rape of the 14 yr . old  i want these ppl out,stereotypical,stereotypical
49,"haaahaaa haaahaaa haaahaaa sanctuary state, cut funding until they get rid of criminals",incitement,incitement
50,white people need to travel in groups of 3 to 5.america is a combat zone.no respect for womenchildren elderly .,white_grievance,incitement
51,are you against the preservation of white majorities ? how does the perpetuation of a race negatively impact you ?,white_grievance,white_grievance
52,What do you call four Mexicans in quick sand? Quattro sinko,irony,irony
53,you can't be a independent thinker and work for a jew . attacking white racial interests / cucking for israel is usually demanded .,stereotypical,white_grievance
54," african  "" refugee "" "" was only here nine days before raping a woman | full story : """,stereotypical,stereotypical
55,got that right why do we let these vipers into america?,inferiority,inferiority
56,funny how tolerating black crime is key to keep black politicians in power ; safe streets would bring whites back  and they'd want good govt .,stereotypical,incitement
57,wtf is wrong with this country? this useless piece of trash comes to this country illegally then ruins the lives of 130 people disgusting,inferiority,inferiority
58,"alejandro: you will not survive here. you are not a wolf, and this is a land of wolves now",inferiority,inferiority
59,we're not reaching out we use the example of a homogeneous israel as a meme as to why jews keep forcing diversity,stereotypical,stereotypical
60," ns might of glorified an aryan race as superior . but they weren't racist like these  "" skinheads "" "" you see today . """,stereotypical,incitement
61,anti-whites will demonize any white person focusing on their race in a positive way . but if you look at,white_grievance,white_grievance
62,It's time for a purge https://twitter.com/spf_7k/status/1031505226434584...,threatening,incitement
63,"Seeing prostitutes is morally wrong, but being one is not Why do women defend prostitutes while at the same time judging men for seeing them?",irony,inferiority
64,"no daca send them back to country of origin, build the wall, stop illegals from any birth rights to children or entitlements. no reason to come they'll stop.",threatening,incitement
65,"not judgingdiscerning. fetid, perverse lifestyles that lead to a skinny aids deaths are bad for #culture",inferiority,inferiority
66,jews have always instigated and radicalized other racial minorities against white societies - they admit it here :,stereotypical,white_grievance
67,if someone invades the usa im picking up a gun and fighting u r welcome to hide under my bed,threatening,threatening
68,What's the difference between a Jew and a pizza? The pizza doesn't scream when it's put in the oven.,irony,irony
69,"If the Japs are offended, then screw them. They should have stayed away from Pearl Harbor."" The highest rated comment on a very old and very racist Bugs Bunny cartoon shown on YouTube. 7 macro,race 6 years ago",incitement,irony
70,rn the average white person is taught we were always the oppressor.we have a right to learn about the extraordinary achievements of our race,incitement,white_grievance
71,"halt illegal immigration. curtail syrian immigration. provide safe zones in their country, no terrorist welcome to usa.",incitement,incitement
72,chin up . we'll all soon be compelled to accept everybody is a racist ( the right thing ) when gene editing / life extension science is commercialized + competition for white / asian dna makes it irrefutably clear the negroid dna has no commercial value : ~ 100 yr extinction event,inferiority,white_grievance
73,"Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!",irony,irony
74,white powers son,incitement,incitement
75,"rt mohammeds own words - """"treat women well for they are like domestic animals and they possess nothing themselves"""" tabari",inferiority,inferiority
76,"plea to america: melt congressional phones, kill executive amnesty",incitement,incitement
77,"sick, sick, sick this muslim religion is very sick! penalty should have been removal of his private parts!",stereotypical,threatening
78,"there are both white and black supremacists, but when it comes to being self-sufficient, whites are much more capable, and you hold us back.",inferiority,inferiority
79,obama wake up ! illegal immigrants are killing this country on your pathetic watch .,stereotypical,stereotypical
80,no peace in america with muslims on u.s. soil. no such thing as a good muslim. they must be removed,threatening,incitement
81,"3- why would you expect millions of illegals, w/less than 10th grade education & language barrier to prosper/contribute to usa?",inferiority,inferiority
82," africa to be 80 % white  "" within 100 years "" "" i'm sure no one will mind . that would be racist . """,stereotypical,white_grievance
83,conservatism lies and lies some more to suppress european heritage .,white_grievance,white_grievance
84,how did the jewish kid cheat on his math test ? he used the numbers on his arm .,irony,irony
85,berlin is the new jerusalem : more and more israeli jews moving to germany #swrm via,stereotypical,stereotypical
86,jewish money is funding #farleft radicals & jew media is pushing their propaganda .,stereotypical,stereotypical
87,no  white women are on average closer to white men in intelligence than black men or women .,inferiority,inferiority
88," most of these  "" nazis "" "" don't appear to be white . antifa is whiter than they are ! """,white_grievance,white_grievance
89,whores of babylon : lena dunham celebrates white genocide via,incitement,white_grievance
90,i like my women the way i like my fish . . . battered .,threatening,irony
91,amusing how few keralites sanctimoniously advise rest of india when own backyard reeks of minority communalism,inferiority,white_grievance
92,a negro who writes? i already have my doubts about this story ;-),irony,irony
93,it's very sad! don't allow these animals to your country!,inferiority,inferiority
94," of course #trump is not  "" your guy "" "" . only fools could imagine a * white friendly * candidate emerging from jew cesspit  nycity """,inferiority,inferiority
95,hi can i get a couple of grammes of your white power ?,incitement,incitement
96,they should put them on a bus back to mexico,threatening,irony
97,rising 3rd world invasion in britain : 69 % of school children in london are non-white | read more : via,stereotypical,stereotypical
98,white europeans are a great race and are recognized as being great around the world,inferiority,incitement
99,i'm sorry but perhaps ur misunderstanding me . while black people as a % r far & away the biggest users of govt assistance  i'm certainly not,stereotypical,stereotypical
100,What's the difference between a jew and a piece of bread? The bread still works after it's been through the toaster,irony,irony
101,a fuzzy headed screaming little chimp with a white breeder mother..what an abomination!,inferiority,inferiority
102,"you may have a family that love you, real love, and that ever nagging resposibility that feels inescapable . still, once black, you never go back home to the kids",stereotypical,inferiority
103,the genocide of white america : 1980-2010 #swrm #whitegenocide #us #whiteprideworldwide via,white_grievance,white_grievance
104," anyhow  the bottom line is that we r all  "" soldiers "" "" on the internet  fight for white rights & white freedom . """,incitement,incitement
105,"all arabs, africans and pakistanis should be banned from europe. they are not compatible.",threatening,inferiority
106,what do you call a jew that jumps out of a plane a falling star,irony,irony
107,they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up,stereotypical,stereotypical
108,just mad because we stand by trump ! ur not immune frm terrorists  bill-they hate elite white men !,white_grievance,white_grievance
109," rt  "" the hindu "" "" is known for it's anti indian  anti hindu  pro islam post's . another media outlets dancing with the devil """,stereotypical,stereotypical
110,the real holocaust was done to germans by the allies  on the defenseless  not on soldiers  6 million myth only a cover-up story #whitegenocide,incitement,white_grievance
111,confirm asap ! immigration is out of control! re-instate legal procedures for immigration & data bases!,incitement,incitement
112," deadly syllables > mc / mc-cas-kill : loon who enjoys her  "" love pat for the day from the tsa ; ; kill : ill-egals thrive & kill in cities """,stereotypical,threatening
113,they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,stereotypical,stereotypical
114,america in 2050 and beyond will look more like brazil ( due to 100 million black people ),incitement,inferiority
115,We had finished the mass and were beginning to leave the church. A bearded man ran towards the church shouting 'Allahu Akbar' (God is greatest) and killed four people.,stereotypical,irony
116,new black panther leader : kill white babies by bombing nurseries #wr,stereotypical,stereotypical
117,"flood: feds predict another 127,000 illegals this year via #border #secureourborder #noamnesty",inferiority,white_grievance
118,leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,white_grievance,white_grievance
119,"kick his whole family out as puniahment, send message, let no more in. wall off coast, ya cuck",threatening,threatening
120,it's 100 % correct that whites and blacks shouldnot date  we are a minority compare,incitement,inferiority
121,Africans actually have more of some things. Like infant mortality.,inferiority,inferiority
122," and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """,stereotypical,threatening
123,the only race the media disparages is the white race . they would never say this about any other race  therefore they are anti-white .,white_grievance,white_grievance
124,let's all return home . whites to euro  nice . others back to 3rd world,incitement,incitement
125,"gay or transgender, should not be in the scouts lgbt behavior not appropriate for scouts, not born that way",inferiority,stereotypical
126,bcuz white ppl exist which makes black kids murder each other over sneakers and street cred ... curse u white supremacy .,stereotypical,stereotypical
127,mmmm according to the quran those who do kill are true muslims . those that don't kill are hyp,stereotypical,stereotypical
128,the comment was more of a conditional : white people must not be fractured or we'll may,white_grievance,white_grievance
